dominant_t,topic_per,keywords,text,userid,textiD,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
3,0.878300011,"love_L, see_L, know_L, make_L, feel_L, let_L, time_L, go_L, got_L, way_L","sex in the air, I don't care I love the smell of it.",33ccb4623ec83bac64472003b8d3372b,36773,13,82.82,6.21,94.81,99,13,0,100,61.54,23.08,15.38,15.38,0,0,0,0,7.69,15.38,15.38,7.69,0,0,7.69,15.38,0,0,0,0,0,15.38,15.38,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,15.38,0,0,7.69,0,7.69,7.69,0,0,0,0,0,15.38,0,15.38,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,7.69,0,0,0,0,0,0,7.69,0,0
3,0.637899995,"love_L, see_L, know_L, make_L, feel_L, let_L, time_L, go_L, got_L, way_L","You take him high, you take him low, you take J.C. wherever you go! Now tell me who's in the house? J.C!!",33ccb4623ec83bac64472003b8d3372b,36785,24,11.86,99,48.89,1,6,4.17,83.33,50,33.33,29.17,4.17,0,16.67,8.33,0,4.17,4.17,4.17,0,8.33,4.17,0,25,4.17,0,8.33,0,0,4.17,0,4.17,0,0,4.17,33.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83,0,0,8.33,12.5,0,0,29.17,0,25,4.17,16.67,4.17,0,0,4.17,0,0,0,0,0,0,0,0,0,41.67,12.5,8.33,0,0,4.17,12.5,0,0,4.17,0,0
2,0.745500028,"night_H, cri_H, lone_L, end_L, life_H, take_L, song_L, run_H, seem_H, go_L",Why is everything so confusing? Maybe I'm just out of my miiiiind.....,33ccb4623ec83bac64472003b8d3372b,36799,12,1,20.24,74.76,1,6,25,91.67,83.33,25,16.67,16.67,0,0,0,0,8.33,0,16.67,16.67,33.33,8.33,0,16.67,0,0,8.33,0,0,8.33,0,8.33,8.33,0,0,8.33,0,0,0,0,33.33,0,8.33,0,16.67,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33,41.67,0,0,0,8.33,0,0,0,8.33,0,0
14,0.896300018,"think_H, m_H, know_H, eye_H, thing_H, wind_H, take_L, see_H, song_H, said_H",You take my fucking car and I'll take your fucking face luv!,33ccb4623ec83bac64472003b8d3372b,36831,12,1.92,79.76,74.76,1,12,16.67,100,41.67,33.33,33.33,16.67,0,16.67,0,0,0,0,0,8.33,0,8.33,0,25,16.67,0,0,0,0,25,8.33,16.67,0,16.67,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33,0,16.67,0,25,8.33,0,0,16.67,0,0,16.67,8.33,8.33,8.33,0,0,0,0,0,0,0,0,25,16.67,8.33,0,0,0,16.67,0,0,0,0,0,8.33,0,0,8.33,0,0
6,0.909699976,"day_L, come_L, live_L, build_H, feel_L, tomorrow_L, tri_L, babi_H, hear_H, need_H",what am I gonna do when the best part of me was always you. And what am I supposed to say when I'm all choked up that you're ok.......,33ccb4623ec83bac64472003b8d3372b,36845,29,1,63.49,95.26,99,14.5,3.45,100,68.97,31.03,20.69,13.79,0,6.9,0,0,10.34,3.45,10.34,20.69,6.9,10.34,0,31.03,3.45,3.45,13.79,0,6.9,6.9,6.9,0,0,0,0,10.34,0,0,0,0,10.34,0,0,0,3.45,6.9,0,3.45,0,3.45,0,3.45,0,3.45,0,0,6.9,0,3.45,6.9,3.45,0,6.9,20.69,3.45,17.24,3.45,3.45,10.34,0,0,0,0,0,0,6.9,0,3.45,3.45,0,0,34.48,27.59,0,0,0,0,0,0,0,6.9,0,0
10,0.896300018,"take_L, say_H, night_H, beauti_H, day_H, death_H, escap_H, come_L, life_H, world_H","Take a dirty picture for me, take a dirty picture.",33ccb4623ec83bac64472003b8d3372b,36868,10,99,15.86,3.37,25.77,10,20,100,40,10,10,10,0,0,0,0,0,20,10,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0,0,0,0,0
10,0.686200023,"take_L, say_H, night_H, beauti_H, day_H, death_H, escap_H, come_L, life_H, world_H",loves that someone stole the C from the Coral sign. Genius.,33ccb4623ec83bac64472003b8d3372b,36886,11,98.34,96.52,1,99,5.5,9.09,63.64,45.45,18.18,0,0,0,0,0,0,18.18,18.18,9.09,0,0,0,0,9.09,0,0,0,0,0,9.09,9.09,0,0,0,0,18.18,0,0,0,0,9.09,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,18.18,9.09,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,18.18,0,0,0,0,0,0,0,0,0,0
3,0.920000017,"love_L, see_L, know_L, make_L, feel_L, let_L, time_L, go_L, got_L, way_L","Call in three months time and I'll be fine, I know. Well maybe not that fine, but I'll survive anyhow............tune.",33ccb4623ec83bac64472003b8d3372b,36894,21,1.3,1,99,99,10.5,4.76,100,52.38,19.05,14.29,14.29,0,0,0,0,4.76,0,4.76,14.29,9.52,9.52,4.76,19.05,9.52,0,0,4.76,0,14.29,14.29,0,0,0,0,4.76,0,0,0,0,23.81,4.76,0,0,9.52,0,9.52,4.76,0,4.76,0,0,0,0,0,0,4.76,0,4.76,0,0,0,0,9.52,9.52,14.29,0,4.76,9.52,0,0,0,0,0,0,4.76,0,0,0,4.76,0,85.71,66.67,9.52,0,0,0,0,0,0,9.52,0,0
4,0.600000024,"tri_H, time_H, old_H, lost_H, get_H, littl_H, make_H, see_H, bring_H, ground_H",This time baby I'll be.....bulletproof.,33ccb4623ec83bac64472003b8d3372b,36917,6,1,50,98.01,25.77,6,16.67,83.33,50,33.33,16.67,16.67,0,0,0,0,16.67,0,0,33.33,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,116.67,100,0,0,0,0,0,0,0,16.67,0,0
11,0.896300018,"take_L, care_H, unawar_L, play_H, know_L, game_H, thing_L, way_H, work_H, come_L","And up until now I had sworn to myself that I'm content with loneliness, because none of it was ever worth the risk.",33ccb4623ec83bac64472003b8d3372b,37028,23,16.15,4.11,94.19,1,23,13.04,91.3,78.26,21.74,13.04,13.04,0,0,0,0,8.7,4.35,21.74,13.04,8.7,13.04,4.35,13.04,0,0,0,0,4.35,8.7,0,8.7,4.35,0,4.35,0,0,0,0,0,8.7,0,4.35,0,0,4.35,0,0,0,0,0,0,0,0,0,0,8.7,0,0,4.35,0,4.35,8.7,8.7,0,17.39,0,4.35,13.04,0,0,0,4.35,0,0,0,0,0,0,0,0,13.04,4.35,4.35,0,0,0,0,0,0,4.35,0,0
